,child_id,video_onset,trial_type,absolute_onset,absolute_offset,trial_type_onset,trial_type_offset,parentEnded,relative_onset,relative_offset,fam_or_test,scene,trial_number
0,GcMVDV,2021-08-09 21:25:32.349,fam-barrier-jump,2021-08-09 21:25:38.049,2021-08-09 21:26:12.300,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,5700.0,39951.0,fam,barrier-jump,1
0,GcMVDV,2021-08-09 21:25:32.349,testA-barrier-jump,2021-08-09 21:26:15.156,2021-08-09 21:27:00.211,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,42807.0,87862.0,testA,barrier-jump,2
0,GcMVDV,2021-08-09 21:25:32.349,fam-pit,2021-08-09 21:27:05.672,2021-08-09 21:27:36.683,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,93323.0,124334.0,fam,pit,3
0,GcMVDV,2021-08-09 21:25:32.349,testB-pit,2021-08-09 21:27:39.421,2021-08-09 21:28:18.514,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,127072.0,166165.0,testB,pit,4
0,GcMVDV,2021-08-09 21:25:32.349,testB-pit-repeat-1,2021-08-09 21:28:52.076,2021-08-09 21:29:37.108,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,199727.0,244759.0,testB,pit-repeat-1,5
0,GcMVDV,2021-08-09 21:25:32.349,fam-barrier-around,2021-08-09 21:29:46.059,2021-08-09 21:30:23.846,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,253710.0,291497.0,fam,barrier-around,6
0,GcMVDV,2021-08-09 21:25:32.349,testB-barrier-around,2021-08-09 21:30:26.481,2021-08-09 21:31:11.529,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,294132.0,339180.0,testB,barrier-around,7
0,GcMVDV,2021-08-09 21:25:32.349,fam-pit-bridge,2021-08-09 21:31:16.895,2021-08-09 21:31:46.688,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,344546.0,374339.0,fam,pit-bridge,8
0,GcMVDV,2021-08-09 21:25:32.349,testA-pit-bridge,2021-08-09 21:31:49.497,2021-08-09 21:32:34.562,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,377148.0,422213.0,testA,pit-bridge,9
0,2K3GFU,2021-08-11 22:55:58.290,fam-barrier-jump,2021-08-11 22:56:03.492,2021-08-11 22:56:37.723,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,5202.0,39433.0,fam,barrier-jump,1
0,2K3GFU,2021-08-11 22:55:58.290,testA-barrier-jump,2021-08-11 22:56:40.137,2021-08-11 22:57:25.185,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,41847.0,86895.0,testA,barrier-jump,2
0,2K3GFU,2021-08-11 22:55:58.290,fam-pit,2021-08-11 22:57:30.027,2021-08-11 22:58:01.005,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,91737.0,122715.0,fam,pit,3
0,2K3GFU,2021-08-11 22:55:58.290,testB-pit,2021-08-11 22:58:03.222,2021-08-11 22:58:48.263,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,124932.0,169973.0,testB,pit,4
0,2K3GFU,2021-08-11 22:55:58.290,fam-barrier-around,2021-08-11 22:59:07.049,2021-08-11 22:59:44.988,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,188759.0,226698.0,fam,barrier-around,5
0,2K3GFU,2021-08-11 22:55:58.290,testB-barrier-around,2021-08-11 22:59:47.164,2021-08-11 23:00:32.215,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,228874.0,273925.0,testB,barrier-around,6
0,2K3GFU,2021-08-11 22:55:58.290,fam-pit-bridge,2021-08-11 23:00:37.139,2021-08-11 23:01:06.922,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,278849.0,308632.0,fam,pit-bridge,7
0,2K3GFU,2021-08-11 22:55:58.290,testA-pit-bridge,2021-08-11 23:01:09.192,2021-08-11 23:01:54.251,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,310902.0,355961.0,testA,pit-bridge,8
0,2K3GFU,2021-08-11 22:55:58.290,fam-barrier-jump,2021-08-11 23:02:18.712,2021-08-11 23:02:52.958,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,380422.0,414668.0,fam,barrier-jump,9
0,2K3GFU,2021-08-11 22:55:58.290,testA-barrier-jump,2021-08-11 23:02:55.221,2021-08-11 23:03:40.273,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,416931.0,461983.0,testA,barrier-jump,10
0,2K3GFU,2021-08-11 22:55:58.290,fam-pit,2021-08-11 23:03:45.076,2021-08-11 23:04:16.058,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,466786.0,497768.0,fam,pit,11
0,2K3GFU,2021-08-11 22:55:58.290,testB-pit,2021-08-11 23:04:18.329,2021-08-11 23:05:03.377,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,500039.0,545087.0,testB,pit,12
0,VZQLK4,2021-08-12 17:28:35.208,fam-barrier-jump,2021-08-12 17:28:40.721,2021-08-12 17:29:14.973,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,5513.0,39765.0,fam,barrier-jump,1
0,VZQLK4,2021-08-12 17:28:35.208,testA-barrier-jump,2021-08-12 17:29:17.772,2021-08-12 17:30:02.862,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,42564.0,87654.0,testA,barrier-jump,2
0,VZQLK4,2021-08-12 17:28:35.208,fam-pit,2021-08-12 17:30:08.766,2021-08-12 17:30:39.763,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,93558.0,124555.0,fam,pit,3
0,VZQLK4,2021-08-12 17:28:35.208,testB-pit,2021-08-12 17:30:42.303,2021-08-12 17:31:27.369,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,127095.0,172161.0,testB,pit,4
0,VZQLK4,2021-08-12 17:28:35.208,fam-barrier-around,2021-08-12 17:31:39.249,2021-08-12 17:32:17.189,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,184041.0,221981.0,fam,barrier-around,5
0,VZQLK4,2021-08-12 17:28:35.208,testB-barrier-around,2021-08-12 17:32:19.904,2021-08-12 17:33:04.985,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,224696.0,269777.0,testB,barrier-around,6
0,VZQLK4,2021-08-12 17:28:35.208,fam-pit-bridge,2021-08-12 17:33:10.236,2021-08-12 17:33:40.034,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,275028.0,304826.0,fam,pit-bridge,7
0,VZQLK4,2021-08-12 17:28:35.208,testA-pit-bridge,2021-08-12 17:33:42.554,2021-08-12 17:34:27.660,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,307346.0,352452.0,testA,pit-bridge,8
0,VZQLK4,2021-08-12 17:28:35.208,fam-barrier-jump,2021-08-12 17:34:53.739,2021-08-12 17:35:27.996,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,378531.0,412788.0,fam,barrier-jump,9
0,VZQLK4,2021-08-12 17:28:35.208,testA-barrier-jump,2021-08-12 17:35:30.751,2021-08-12 17:36:15.820,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,415543.0,460612.0,testA,barrier-jump,10
0,VZQLK4,2021-08-12 17:28:35.208,fam-pit,2021-08-12 17:36:21.090,2021-08-12 17:36:52.087,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,465882.0,496879.0,fam,pit,11
0,VZQLK4,2021-08-12 17:28:35.208,testB-pit,2021-08-12 17:36:54.756,2021-08-12 17:37:39.821,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,499548.0,544613.0,testB,pit,12
0,J2HS4X,2021-08-13 19:43:44.474,fam-barrier-jump,2021-08-13 19:43:50.078,2021-08-13 19:44:24.368,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,5604.0,39894.0,fam,barrier-jump,1
0,J2HS4X,2021-08-13 19:43:44.474,testA-barrier-jump,2021-08-13 19:44:27.271,2021-08-13 19:45:12.337,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,42797.0,87863.0,testA,barrier-jump,2
0,J2HS4X,2021-08-13 19:43:44.474,fam-pit,2021-08-13 19:45:18.083,2021-08-13 19:45:49.074,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,93609.0,124600.0,fam,pit,3
0,J2HS4X,2021-08-13 19:43:44.474,testB-pit,2021-08-13 19:45:51.803,2021-08-13 19:46:36.853,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,127329.0,172379.0,testB,pit,4
0,J2HS4X,2021-08-13 19:43:44.474,fam-barrier-around,2021-08-13 19:46:47.191,2021-08-13 19:47:25.136,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,182717.0,220662.0,fam,barrier-around,5
0,J2HS4X,2021-08-13 19:43:44.474,testB-barrier-around,2021-08-13 19:47:27.783,2021-08-13 19:48:12.857,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,223309.0,268383.0,testB,barrier-around,6
0,J2HS4X,2021-08-13 19:43:44.474,fam-pit-bridge,2021-08-13 19:48:18.176,2021-08-13 19:48:47.976,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,273702.0,303502.0,fam,pit-bridge,7
0,J2HS4X,2021-08-13 19:43:44.474,testA-pit-bridge,2021-08-13 19:48:50.802,2021-08-13 19:49:35.878,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,306328.0,351404.0,testA,pit-bridge,8
0,J2HS4X,2021-08-13 19:43:44.474,fam-barrier-jump,2021-08-13 19:50:01.949,2021-08-13 19:50:20.686,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,377475.0,396212.0,fam,barrier-jump,9
0,J2HS4X,2021-08-13 19:43:44.474,fam-barrier-jump-repeat-1,2021-08-13 19:50:43.793,2021-08-13 19:51:18.045,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,419319.0,453571.0,fam,barrier-jump-repeat-1,10
0,J2HS4X,2021-08-13 19:43:44.474,testA-barrier-jump-repeat-1,2021-08-13 19:52:03.930,2021-08-13 19:52:49.011,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,499456.0,544537.0,testA,barrier-jump-repeat-1,11
0,J2HS4X,2021-08-13 19:43:44.474,fam-pit,2021-08-13 19:52:54.283,2021-08-13 19:53:25.271,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,549809.0,580797.0,fam,pit,12
0,J2HS4X,2021-08-13 19:43:44.474,testB-pit,2021-08-13 19:53:27.983,2021-08-13 19:54:13.121,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,583509.0,628647.0,testB,pit,13
0,4UX6VG,2021-08-14 18:46:26.267,fam-barrier-jump,2021-08-14 18:46:31.644,2021-08-14 18:47:05.907,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,5377.0,39640.0,fam,barrier-jump,1
0,4UX6VG,2021-08-14 18:46:26.267,testA-barrier-jump,2021-08-14 18:47:08.769,2021-08-14 18:47:53.852,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,42502.0,87585.0,testA,barrier-jump,2
0,4UX6VG,2021-08-14 18:46:26.267,fam-pit,2021-08-14 18:47:59.262,2021-08-14 18:48:30.273,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,92995.0,124006.0,fam,pit,3
0,4UX6VG,2021-08-14 18:46:26.267,testB-pit,2021-08-14 18:48:32.769,2021-08-14 18:49:17.823,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,126502.0,171556.0,testB,pit,4
0,4UX6VG,2021-08-14 18:46:26.267,fam-barrier-around,2021-08-14 18:49:29.103,2021-08-14 18:50:07.890,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,182836.0,221623.0,fam,barrier-around,5
0,4UX6VG,2021-08-14 18:46:26.267,testB-barrier-around,2021-08-14 18:50:10.317,2021-08-14 18:50:55.388,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,224050.0,269121.0,testB,barrier-around,6
0,4UX6VG,2021-08-14 18:46:26.267,fam-pit-bridge,2021-08-14 18:51:00.658,2021-08-14 18:51:30.476,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,274391.0,304209.0,fam,pit-bridge,7
0,4UX6VG,2021-08-14 18:46:26.267,testA-pit-bridge,2021-08-14 18:51:33.199,2021-08-14 18:52:18.297,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,306932.0,352030.0,testA,pit-bridge,8
0,4UX6VG,2021-08-14 18:46:26.267,fam-barrier-jump,2021-08-14 18:52:34.760,2021-08-14 18:53:09.036,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,368493.0,402769.0,fam,barrier-jump,9
0,4UX6VG,2021-08-14 18:46:26.267,testA-barrier-jump,2021-08-14 18:53:11.710,2021-08-14 18:53:56.902,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,405443.0,450635.0,testA,barrier-jump,10
0,4UX6VG,2021-08-14 18:46:26.267,fam-pit,2021-08-14 18:54:02.057,2021-08-14 18:54:33.082,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,455790.0,486815.0,fam,pit,11
0,4UX6VG,2021-08-14 18:46:26.267,testB-pit,2021-08-14 18:54:35.573,2021-08-14 18:55:20.649,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,489306.0,534382.0,testB,pit,12
0,FA6MEZ,2021-08-15 16:16:36.680,fam-barrier-jump,2021-08-15 16:16:42.723,2021-08-15 16:17:17.166,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,6043.0,40486.0,fam,barrier-jump,1
0,FA6MEZ,2021-08-15 16:16:36.680,testA-barrier-jump,2021-08-15 16:17:20.227,2021-08-15 16:18:05.465,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,43547.0,88785.0,testA,barrier-jump,2
0,FA6MEZ,2021-08-15 16:16:36.680,fam-pit,2021-08-15 16:18:11.283,2021-08-15 16:18:42.469,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,94603.0,125789.0,fam,pit,3
0,FA6MEZ,2021-08-15 16:16:36.680,testB-pit,2021-08-15 16:18:45.563,2021-08-15 16:19:30.761,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,128883.00000000001,174081.0,testB,pit,4
0,FA6MEZ,2021-08-15 16:16:36.680,fam-barrier-around,2021-08-15 16:21:03.832,2021-08-15 16:21:41.962,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,267152.0,305282.0,fam,barrier-around,5
0,FA6MEZ,2021-08-15 16:16:36.680,testB-barrier-around,2021-08-15 16:21:44.864,2021-08-15 16:22:30.083,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,308184.0,353403.0,testB,barrier-around,6
0,FA6MEZ,2021-08-15 16:16:36.680,fam-pit-bridge,2021-08-15 16:22:35.523,2021-08-15 16:23:05.516,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,358843.0,388836.0,fam,pit-bridge,7
0,FA6MEZ,2021-08-15 16:16:36.680,testA-pit-bridge,2021-08-15 16:23:08.429,2021-08-15 16:23:53.696,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,391749.0,437016.0,testA,pit-bridge,8
0,FA6MEZ,2021-08-15 16:16:36.680,fam-barrier-jump,2021-08-15 16:24:41.848,2021-08-15 16:25:16.290,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,485168.0,519610.0,fam,barrier-jump,9
0,FA6MEZ,2021-08-15 16:16:36.680,testA-barrier-jump,2021-08-15 16:25:18.980,2021-08-15 16:26:04.203,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,522299.99999999994,567523.0,testA,barrier-jump,10
0,FA6MEZ,2021-08-15 16:16:36.680,fam-pit,2021-08-15 16:26:09.819,2021-08-15 16:26:40.995,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,573139.0,604315.0,fam,pit,11
0,FA6MEZ,2021-08-15 16:16:36.680,testB-pit,2021-08-15 16:26:43.849,2021-08-15 16:27:29.028,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,607169.0,652348.0,testB,pit,12
0,LKNTQH,2021-08-19 12:46:19.247,fam-barrier-jump,2021-08-19 12:46:24.423,2021-08-19 12:46:58.684,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,5176.0,39437.0,fam,barrier-jump,1
0,LKNTQH,2021-08-19 12:46:19.247,testA-barrier-jump,2021-08-19 12:47:01.350,2021-08-19 12:47:46.398,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,42103.0,87151.0,testA,barrier-jump,2
0,LKNTQH,2021-08-19 12:46:19.247,fam-pit,2021-08-19 12:47:51.368,2021-08-19 12:48:22.383,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,92121.0,123136.0,fam,pit,3
0,LKNTQH,2021-08-19 12:46:19.247,testB-pit,2021-08-19 12:48:24.683,2021-08-19 12:49:09.718,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,125436.0,170471.0,testB,pit,4
0,LKNTQH,2021-08-19 12:46:19.247,fam-barrier-around,2021-08-19 12:49:18.802,2021-08-19 12:49:56.739,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,179555.0,217492.0,fam,barrier-around,5
0,LKNTQH,2021-08-19 12:46:19.247,testB-barrier-around,2021-08-19 12:49:59.054,2021-08-19 12:50:44.108,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,219807.0,264861.0,testB,barrier-around,6
0,LKNTQH,2021-08-19 12:46:19.247,fam-pit-bridge,2021-08-19 12:50:49.275,2021-08-19 12:51:19.071,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,270028.0,299824.0,fam,pit-bridge,7
0,LKNTQH,2021-08-19 12:46:19.247,testA-pit-bridge,2021-08-19 12:51:21.417,2021-08-19 12:52:06.479,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,302170.0,347232.0,testA,pit-bridge,8
0,LKNTQH,2021-08-19 12:46:19.247,fam-barrier-jump,2021-08-19 12:52:21.286,2021-08-19 12:52:55.570,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,362039.0,396323.0,fam,barrier-jump,9
0,LKNTQH,2021-08-19 12:46:19.247,testA-barrier-jump,2021-08-19 12:52:58.003,2021-08-19 12:53:43.078,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,398756.0,443831.0,testA,barrier-jump,10
0,LKNTQH,2021-08-19 12:46:19.247,fam-pit,2021-08-19 12:53:48.013,2021-08-19 12:54:19.014,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,448766.0,479767.0,fam,pit,11
0,LKNTQH,2021-08-19 12:46:19.247,testB-pit,2021-08-19 12:54:21.352,2021-08-19 12:55:06.395,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,482105.0,527148.0,testB,pit,12
0,2cBM2E,2021-08-19 19:14:33.377,fam-barrier-jump,2021-08-19 19:14:38.389,2021-08-19 19:15:12.629,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,5012.0,39252.0,fam,barrier-jump,1
0,2cBM2E,2021-08-19 19:14:33.377,testA-barrier-jump,2021-08-19 19:15:15.038,2021-08-19 19:16:00.067,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,41661.0,86690.0,testA,barrier-jump,2
0,2cBM2E,2021-08-19 19:14:33.377,fam-pit,2021-08-19 19:16:04.863,2021-08-19 19:16:35.856,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,91486.0,122479.0,fam,pit,3
0,2cBM2E,2021-08-19 19:14:33.377,testB-pit,2021-08-19 19:16:37.994,2021-08-19 19:17:07.019,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,124617.0,153642.0,testB,pit,4
0,2cBM2E,2021-08-19 19:14:33.377,testB-pit-repeat-1,2021-08-19 19:25:02.704,2021-08-19 19:25:47.727,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,629327.0,674350.0,testB,pit-repeat-1,5
0,2cBM2E,2021-08-19 19:14:33.377,fam-barrier-around,2021-08-19 19:26:09.675,2021-08-19 19:26:29.931,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,696298.0,716554.0,fam,barrier-around,6
0,2cBM2E,2021-08-19 19:14:33.377,fam-barrier-around-repeat-1,2021-08-19 19:26:43.843,2021-08-19 19:27:21.751,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,730466.0,768374.0,fam,barrier-around-repeat-1,7
0,2cBM2E,2021-08-19 19:14:33.377,testB-barrier-around,2021-08-19 19:27:23.948,2021-08-19 19:28:08.978,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,770571.0,815601.0,testB,barrier-around,8
0,2cBM2E,2021-08-19 19:14:33.377,fam-pit-bridge,2021-08-19 19:28:13.895,2021-08-19 19:28:43.693,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,820518.0,850316.0,fam,pit-bridge,9
0,2cBM2E,2021-08-19 19:14:33.377,testA-pit-bridge,2021-08-19 19:28:45.948,2021-08-19 19:29:30.984,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,852571.0,897607.0,testA,pit-bridge,10
0,BUVYPT,2021-08-20 17:57:53.340,fam-barrier-jump,2021-08-20 17:57:58.869,2021-08-20 17:58:33.133,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,5529.0,39793.0,fam,barrier-jump,1
0,BUVYPT,2021-08-20 17:57:53.340,testA-barrier-jump,2021-08-20 17:58:35.702,2021-08-20 17:59:20.775,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,42362.0,87435.0,testA,barrier-jump,2
0,BUVYPT,2021-08-20 17:57:53.340,fam-pit,2021-08-20 17:59:25.937,2021-08-20 17:59:56.919,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,92597.0,123579.0,fam,pit,3
0,BUVYPT,2021-08-20 17:57:53.340,testB-pit,2021-08-20 17:59:59.353,2021-08-20 18:00:44.421,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,126013.0,171081.0,testB,pit,4
0,BUVYPT,2021-08-20 17:57:53.340,fam-barrier-around,2021-08-20 18:00:58.603,2021-08-20 18:01:37.010,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,185263.0,223670.0,fam,barrier-around,5
0,BUVYPT,2021-08-20 17:57:53.340,testB-barrier-around,2021-08-20 18:01:39.575,2021-08-20 18:02:24.647,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,226235.0,271307.0,testB,barrier-around,6
0,BUVYPT,2021-08-20 17:57:53.340,fam-pit-bridge,2021-08-20 18:02:29.859,2021-08-20 18:02:59.649,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,276519.0,306309.0,fam,pit-bridge,7
0,BUVYPT,2021-08-20 17:57:53.340,testA-pit-bridge,2021-08-20 18:03:02.161,2021-08-20 18:03:47.318,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,308821.0,353978.0,testA,pit-bridge,8
0,USJcYP,2021-08-21 20:22:13.682,fam-barrier-jump,2021-08-21 20:22:18.882,2021-08-21 20:22:53.135,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,5200.0,39453.0,fam,barrier-jump,1
0,USJcYP,2021-08-21 20:22:13.682,testA-barrier-jump,2021-08-21 20:22:55.626,2021-08-21 20:23:40.691,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,41944.0,87009.0,testA,barrier-jump,2
0,USJcYP,2021-08-21 20:22:13.682,fam-pit,2021-08-21 20:23:45.737,2021-08-21 20:24:16.745,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,92055.0,123063.0,fam,pit,3
0,USJcYP,2021-08-21 20:22:13.682,testB-pit,2021-08-21 20:24:19.069,2021-08-21 20:25:04.133,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,125387.0,170451.0,testB,pit,4
0,USJcYP,2021-08-21 20:22:13.682,fam-barrier-around,2021-08-21 20:25:13.584,2021-08-21 20:25:51.545,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,179902.0,217863.0,fam,barrier-around,5
0,USJcYP,2021-08-21 20:22:13.682,testB-barrier-around,2021-08-21 20:25:53.931,2021-08-21 20:26:38.997,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,220249.0,265315.0,testB,barrier-around,6
0,USJcYP,2021-08-21 20:22:13.682,fam-pit-bridge,2021-08-21 20:26:44.059,2021-08-21 20:27:13.870,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,270377.0,300188.0,fam,pit-bridge,7
0,USJcYP,2021-08-21 20:22:13.682,testA-pit-bridge,2021-08-21 20:27:16.256,2021-08-21 20:28:01.336,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,302574.0,347654.0,testA,pit-bridge,8
0,USJcYP,2021-08-21 20:22:13.682,fam-barrier-jump,2021-08-21 20:28:21.732,2021-08-21 20:28:56.008,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,368050.0,402326.0,fam,barrier-jump,9
0,USJcYP,2021-08-21 20:22:13.682,testA-barrier-jump,2021-08-21 20:28:58.409,2021-08-21 20:29:43.467,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,404727.0,449785.0,testA,barrier-jump,10
0,USJcYP,2021-08-21 20:22:13.682,fam-pit,2021-08-21 20:29:48.417,2021-08-21 20:30:19.429,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,454735.0,485747.0,fam,pit,11
0,USJcYP,2021-08-21 20:22:13.682,testB-pit,2021-08-21 20:30:21.757,2021-08-21 20:31:06.818,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,488075.0,533136.0,testB,pit,12
0,5UUTRY,2021-08-22 14:10:50.955,fam-barrier-jump,2021-08-22 14:11:01.890,2021-08-22 14:11:36.284,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,10935.0,45329.0,fam,barrier-jump,1
0,5UUTRY,2021-08-22 14:10:50.955,testA-barrier-jump,2021-08-22 14:11:39.345,2021-08-22 14:12:24.459,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,48390.0,93504.0,testA,barrier-jump,2
0,5UUTRY,2021-08-22 14:10:50.955,fam-pit,2021-08-22 14:12:29.882,2021-08-22 14:13:01.034,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,98927.0,130079.00000000001,fam,pit,3
0,5UUTRY,2021-08-22 14:10:50.955,testB-pit,2021-08-22 14:13:03.907,2021-08-22 14:13:49.019,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,132952.0,178064.0,testB,pit,4
0,5UUTRY,2021-08-22 14:10:50.955,fam-barrier-around,2021-08-22 14:14:13.691,2021-08-22 14:14:35.246,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,202736.0,224291.0,fam,barrier-around,5
0,5UUTRY,2021-08-22 14:10:50.955,fam-barrier-around-repeat-1,2021-08-22 14:14:45.235,2021-08-22 14:15:34.822,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,234280.0,283867.0,fam,barrier-around-repeat-1,6
0,5UUTRY,2021-08-22 14:10:50.955,testB-barrier-around,2021-08-22 14:15:38.110,2021-08-22 14:16:48.228,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,287155.0,357273.0,testB,barrier-around,7
0,5UUTRY,2021-08-22 14:10:50.955,fam-pit-bridge,2021-08-22 14:16:29.048,2021-08-22 14:17:02.703,exp-lookit-video:videoStarted,exp-lookit-video:videoPaused,False,338093.0,371748.0,fam,pit-bridge,8
